fold,split,train_rows,eval_rows,account_points,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed
fold1,val,1260,250,250,0.1158242639878222,0.1172985739197676,0.1270584198280689,0.923186153884898,1.4276663509261736,1.2108909112318955,-0.0968696460033995,0.923873902074506,0.9350049129428734,249.0,990969250
fold1,test,1260,252,252,0.2632159080034779,0.2643924077666484,0.1085741416945899,2.435132377194952,3.3946078825975845,4.371758224918342,-0.0604773626912057,0.8889215417332935,0.8924630618198803,251.0,990969250
fold2,val,1259,252,252,-0.1361097156802461,-0.1366131361098062,0.1072584660085755,-1.2736816140824134,-2.154148371206011,-0.881117292801327,-0.1550453466592097,5.057233023894019,5.0773813626346325,81.0,990969250
fold2,test,1259,252,252,0.2485774793807602,0.2496823117431785,0.1075261593154206,2.322061099669267,4.821091248975001,2.844039457127527,-0.0877914373225177,15.334246721416472,15.39533933783646,30.375,990969250
fold3,val,1258,252,252,0.0980417314780652,0.0984509632177752,0.112065935836714,0.8785092676263687,1.1622648571322465,1.2777730043880424,-0.0770488677407345,21.82833573449981,21.91530121551375,21.90909090909091,990969250
fold3,test,1258,252,252,-0.0054600942162119,-0.0054817878469306,0.155829177859211,-0.0351781862821823,-0.0492979356380209,-0.0446192106730283,-0.1228571228456157,5.092603202579203,5.112892458366371,83.0,990969250
fold4,val,1258,252,252,-0.0085862221515752,-0.0086202823417499,0.1558671542392429,-0.0553053167861044,-0.0777171188566409,-0.0701651002570061,-0.1228571228456155,0.9973210350370156,1.0012944256148522,251.0,990969250
fold4,test,1258,252,252,0.1108668989870755,0.1113323244448101,0.1305417967863074,0.8528481083116807,1.1196827133738358,1.2117771307112877,-0.0918752480329946,0.9607486651401368,0.9645763490649978,251.0,990969250
fold5,val,1258,252,252,-0.0523812649336934,-0.0525843697174652,0.1277822384881077,-0.4115154839955252,-0.622186854374685,-0.4112037168637776,-0.1278791206424947,3.103960113826528,3.116326488782012,123.5,990969250
fold5,test,1258,251,251,-0.1606910287369888,-0.1618664217915937,0.067434731581401,-2.4003420492035814,-3.4980343776846508,-0.9818918396997,-0.1648515806395729,1.0879227884043476,1.0966261707115823,250.0,990969250
fold6,val,1258,251,251,-0.10125766037846,-0.1020249225842636,0.0514958299489083,-1.9812268815841567,-2.8853349206748766,-0.9150518211402716,-0.1114963330242079,218.82463213121733,220.57522918826703,1.2818181818181815,990969250
fold6,test,1258,251,251,-0.2170873510753201,-0.2186186951824776,0.1661659568352888,-1.3156647688020862,-1.6801807057425695,-0.8003346577307952,-0.2731591004722095,109.60021728016198,110.47701901840328,3.648148148148149,990969250
fold7,val,1259,251,251,-0.1374717889604022,-0.1384916421369799,0.1596119148037915,-0.8676773429303547,-1.0626568676692751,-0.6130829043153111,-0.2258938247375319,47.01060955813535,47.38669443460044,9.416666666666666,990969250
fold7,test,1259,252,252,0.0987508359022719,0.0991631590058905,0.1190154926401888,0.8331953832740376,1.0041797333174554,1.2648774109361418,-0.0783974463837562,20.642934485418184,20.72517725229236,21.90909090909091,990969250
fold8,val,1258,252,252,-0.0933404861317107,-0.0936943693303101,0.1165483888272261,-0.8039096058994407,-1.387469017654476,-0.7164815334352562,-0.1307701105443448,43.25724048004973,43.4295800835559,10.409090909090908,990969250
fold8,test,1258,112,112,0.1468528139710163,0.3648927504174648,0.432609679684397,0.8434687607629725,1.3995972978086333,2.2456293960879607,-0.1624901914149916,5.272642219761807,11.970322877297075,36.333333333333336,990969250
fold1,val,1260,250,250,0.1158242639878222,0.1172985739197676,0.1270584198280689,0.923186153884898,1.4276663509261736,1.2108909112318955,-0.0968696460033995,0.923873902074506,0.9350049129428734,249.0,1073934622
fold1,test,1260,252,252,0.2632159080034779,0.2643924077666484,0.1085741416945899,2.435132377194952,3.3946078825975845,4.371758224918342,-0.0604773626912057,0.8889215417332935,0.8924630618198803,251.0,1073934622
fold2,val,1259,252,252,-0.0393887122134251,-0.0395424950674546,0.0782477657052427,-0.5053498296221028,-0.5981705191657771,-0.3651619277819744,-0.1082875624730081,40.14467063991042,40.30460956676266,7.1,1073934622
fold2,test,1259,252,252,-0.0808946802138269,-0.0812035156673058,0.0629847585838377,-1.2892565994234542,-1.255323739077048,-0.6773676941149239,-0.1198809987143093,17.041020910501796,17.108913424089454,10.77777777777778,1073934622
fold3,val,1258,252,252,0.0126225719703532,0.0126731784282447,0.1119254860598898,0.1132287102283704,0.159796671507697,0.1553442731147362,-0.0815812400041581,23.218468508582795,23.310972367182725,20.0,1073934622
fold3,test,1258,252,252,-0.0006697979739156,-0.000672465594296,0.1554191121543448,-0.0043267882886127,-0.0059625068784758,-0.0054735580544324,-0.1228571228456153,8.997708560759044,9.03355600522422,49.4,1073934622
fold4,val,1258,252,252,0.0853124539525476,0.085666504816015,0.1552923422917076,0.5516466784633557,0.7630193506188444,0.697285617893435,-0.122857122845616,9.082923199003757,9.119110144019707,49.4,1073934622
fold4,test,1258,252,252,0.0700634274368099,0.0703521615021269,0.1299527193111991,0.5413673671087553,0.7179041191633015,0.7657357450274508,-0.0918752480329946,15.135598470082115,15.195899659205953,30.5,1073934622
fold5,val,1258,252,252,0.1443617142422644,0.1449766753332151,0.1248243082574865,1.1614458542334434,1.762427370610438,1.577973158572051,-0.0918752480329946,31.694456916197183,31.8207296529151,13.75,1073934622
fold5,test,1258,251,251,-0.1001954152079408,-0.1009550884969348,0.0641890583487609,-1.5727772161481417,-2.323287221239545,-0.9646387435184792,-0.1046558508822746,15.220914818494792,15.34268213704275,28.5,1073934622
fold6,val,1258,251,251,-0.1157966648033339,-0.1166667750856179,0.0519533642809579,-2.2456057793427417,-3.0962493295221067,-0.9596331878450272,-0.1215743437840112,182.28568103170556,183.7439664799592,1.7472527472527473,1073934622
fold6,test,1258,251,251,-0.2300080396359584,-0.2316164119489617,0.1611910436324731,-1.4369062122152607,-1.9278483993188804,-0.7869340071555279,-0.2943276181266692,115.72853587862616,116.65436416565517,3.4035087719298245,1073934622
fold7,val,1259,251,251,-0.0710641501046603,-0.0716118050801208,0.1711346678705589,-0.4184529410153521,-0.5142744830219513,-0.3548919014108511,-0.2017848386943531,0.9806748159235266,0.9885202144509148,250.0,1073934622
fold7,test,1259,252,252,0.2852271755515856,0.2865127149213478,0.1257024128581388,2.279293677876263,2.8178423732108144,4.329052939876455,-0.0661836939627549,0.8605957370124182,0.8640244052873681,251.0,1073934622
fold8,val,1258,252,252,-0.2215691984138338,-0.2223456141165511,0.1207758403695937,-1.840977578265134,-2.9935184678688267,-0.991975246335708,-0.224144317046097,7.912316754728851,7.94383992905048,62.0,1073934622
fold8,test,1258,112,112,0.1509929800911364,0.3761046997915265,0.4379540720028038,0.8587765791777332,1.439859568721778,1.7439555103808384,-0.2156618661157211,21.26640496089199,48.28048693824128,10.2,1073934622
fold1,val,1260,250,250,0.1158242639878222,0.1172985739197676,0.1270584198280689,0.923186153884898,1.4276663509261736,1.2108909112318955,-0.0968696460033995,0.923873902074506,0.9350049129428734,249.0,1952065516
fold1,test,1260,252,252,0.2596886804456157,0.2608478490620265,0.1085086214693228,2.403936623006242,3.352968462404305,4.313148547728561,-0.0604773626912055,2.880313731870901,2.891789085384331,125.0,1952065516
fold2,val,1259,252,252,-0.1486472248906548,-0.1491928949263165,0.1086274383430577,-1.37343655711689,-2.313539673107615,-0.9622532900277428,-0.1550453466592097,5.0531402180413085,5.073272250782509,83.0,1952065516
fold2,test,1259,252,252,-0.0323940558562022,-0.0325209941794997,0.1120156041281646,-0.290325570554351,-0.4661007348103331,-0.2558503989971727,-0.1271094135751537,5.045030940503502,5.065130665366066,83.0,1952065516
fold3,val,1258,252,252,0.122536930615972,0.1230540035979883,0.1124055777958016,1.0947321833221733,1.4411190841847743,1.597090355851291,-0.0770488677407342,0.947645325850123,0.95142080523598,251.0,1952065516
fold3,test,1258,252,252,-0.0085862221515752,-0.0086202823417499,0.1558671542392429,-0.0553053167861044,-0.0777171188566409,-0.0701651002570061,-0.1228571228456155,0.9973210350370156,1.0012944256148522,251.0,1952065516
fold4,val,1258,252,252,-0.0113431972856192,-0.0113881309998764,0.1558453379115576,-0.0730732863265966,-0.102653763817027,-0.0926941046323131,-0.1228571228456157,5.091588251911481,5.111873464070491,83.0,1952065516
fold4,test,1258,252,252,0.0788849770284891,0.0792113915914627,0.129787227722998,0.610317309192564,0.8047862702038578,0.8621624788758775,-0.0918752480329946,26.106100332198466,26.21010870005583,18.384615384615383,1952065516
fold5,val,1258,252,252,0.0623332628785755,0.0625892173265532,0.1281752204435195,0.4883098083231552,0.7739380977948022,0.6812413426527665,-0.0918752480329946,29.69118295163116,29.809474517175502,15.8,1952065516
fold5,test,1258,251,251,-0.1442160180061983,-0.1452815739215091,0.0672385151483467,-2.160689801090605,-3.054191528109509,-0.978602302174399,-0.1484582384475303,5.0691929151947255,5.109746458516283,82.66666666666667,1952065516
fold6,val,1258,251,251,-0.0756383081359772,-0.0762197471935589,0.0528237572638642,-1.4429065848691431,-2.084471795741975,-0.9331690101978516,-0.081678395189526,186.19767737944045,187.687258798476,1.6881720430107527,1952065516
fold6,test,1258,251,251,-0.1949188886398106,-0.1963140898625414,0.167332528313912,-1.173197416190716,-1.486674931067945,-0.7772404288029751,-0.2525783304464539,91.58985049750284,92.32256930148289,4.5777777777777775,1952065516
fold7,val,1259,251,251,-0.0710641501046603,-0.0716118050801208,0.1711346678705589,-0.4184529410153521,-0.5142744830219513,-0.3548919014108511,-0.2017848386943531,0.9806748159235266,0.9885202144509148,250.0,1952065516
fold7,test,1259,252,252,0.2852271755515856,0.2865127149213478,0.1257024128581388,2.279293677876263,2.8178423732108144,4.329052939876455,-0.0661836939627549,0.8605957370124182,0.8640244052873681,251.0,1952065516
fold8,val,1258,252,252,0.2866885395603824,0.2879813719653763,0.1228412293329565,2.344338082003507,2.8855701829370792,4.351243557475626,-0.066183693962755,25.092243712790133,25.192212811247465,18.384615384615383,1952065516
fold8,test,1258,112,112,-0.0162144632886042,-0.0364326736708917,0.4417901693274477,-0.082466012601309,-0.0994994866825769,-0.1141105495759429,-0.3192752449820168,47.13127390354273,107.00072994317809,3.8260869565217392,1952065516
fold1,val,1260,250,250,0.1158242639878222,0.1172985739197676,0.1270584198280689,0.923186153884898,1.4276663509261736,1.2108909112318955,-0.0968696460033995,0.923873902074506,0.9350049129428734,249.0,770305002
fold1,test,1260,252,252,0.2632159080034779,0.2643924077666484,0.1085741416945899,2.435132377194952,3.3946078825975845,4.371758224918342,-0.0604773626912057,0.8889215417332935,0.8924630618198803,251.0,770305002
fold2,val,1259,252,252,-0.0352930642260845,-0.0354311531671395,0.0841895629743147,-0.4208497100519355,-0.6538902255286693,-0.453011873712994,-0.0782124161045433,153.98317914152312,154.59665794288378,2.272727272727273,770305002
fold2,test,1259,252,252,-0.073312273386647,-0.0735933332988503,0.1026561069739422,-0.7168919167909897,-0.9285493631874004,-0.6368075031529399,-0.1155660587139402,74.71652252578599,75.01419791433494,5.783783783783784,770305002
fold3,val,1258,252,252,0.122536930615972,0.1230540035979883,0.1124055777958016,1.0947321833221733,1.4411190841847743,1.597090355851291,-0.0770488677407342,0.947645325850123,0.95142080523598,251.0,770305002
fold3,test,1258,252,252,-0.0085862221515752,-0.0086202823417499,0.1558671542392429,-0.0553053167861044,-0.0777171188566409,-0.0701651002570061,-0.1228571228456155,0.9973210350370156,1.0012944256148522,251.0,770305002
fold4,val,1258,252,252,-0.0053046785388487,-0.0053257563385793,0.1558837345819188,-0.0341649265259333,-0.0476985221519751,-0.043349186560976,-0.1228571228456155,9.177563032123803,9.214127028267724,49.4,770305002
fold4,test,1258,252,252,0.0988985432628004,0.0993115105319717,0.1290777349971534,0.7693930369491054,1.0002347994955,1.0809386930450142,-0.0918752480329946,56.37016939635304,56.59475174454568,8.296296296296296,770305002
fold5,val,1258,252,252,-0.0989350797801531,-0.0993089906831278,0.1306859858722771,-0.759905433013951,-1.1322266891941544,-0.7765848731534589,-0.1278791206424949,3.168291626797921,3.1809143026018973,124.5,770305002
fold5,test,1258,251,251,-0.1606910287369888,-0.1618664217915937,0.067434731581401,-2.4003420492035814,-3.4980343776846508,-0.9818918396997,-0.1648515806395729,1.0879227884043476,1.0966261707115823,250.0,770305002
fold6,val,1258,251,251,-0.0044198339929811,-0.0044551137847088,0.0618495612418239,-0.0720314533403064,-0.1135858255227079,-0.0785992192875395,-0.0566813999565405,91.43519656938813,92.16667814194322,4.456521739130435,770305002
fold6,test,1258,251,251,-0.1482426239716007,-0.1493352625943553,0.1703755089278086,-0.8765066266515547,-1.0955760103207244,-0.7264568434041995,-0.205566598966245,38.40238320671153,38.70960227236522,12.210526315789474,770305002
fold7,val,1259,251,251,-0.0710641501046603,-0.0716118050801208,0.1711346678705589,-0.4184529410153521,-0.5142744830219513,-0.3548919014108511,-0.2017848386943531,0.9806748159235266,0.9885202144509148,250.0,770305002
fold7,test,1259,252,252,0.2852271755515856,0.2865127149213478,0.1257024128581388,2.279293677876263,2.8178423732108144,4.329052939876455,-0.0661836939627549,0.8605957370124182,0.8640244052873681,251.0,770305002
fold8,val,1258,252,252,0.0586919455024776,0.0589325368862143,0.119126154337371,0.4947069534311883,0.8261897480499538,0.584029017872521,-0.1009068643556301,37.37379841981088,37.522698015108936,12.263157894736842,770305002
fold8,test,1258,112,112,0.3362258223585546,0.930995688866172,0.3933401058460941,2.366897438194242,4.373587213705867,6.5772715760095535,-0.1415473997245236,32.08156508190321,72.83382342918566,6.466666666666667,770305002
fold1,val,1260,250,250,0.1158242639878222,0.1172985739197676,0.1270584198280689,0.923186153884898,1.4276663509261736,1.2108909112318955,-0.0968696460033995,0.923873902074506,0.9350049129428734,249.0,1017462198
fold1,test,1260,252,252,0.2446490969953163,0.2457348132307406,0.1081612071198391,2.27193112738169,3.147430274675791,4.063252798992729,-0.0604773626912058,12.295154668511614,12.344139348465845,35.0,1017462198
fold2,val,1259,252,252,-0.2193494981867659,-0.220119280602783,0.1085146513773353,-2.0284752133365638,-3.5303893022020927,-0.9948205267074364,-0.2212653184100586,1.129681550913156,1.134182274223567,251.0,1017462198
fold2,test,1259,252,252,-0.1221120931242574,-0.1225674846405224,0.1123939023312499,-1.0905172086586044,-1.8062840733641532,-0.7024674795683895,-0.174481364910772,1.0617281520061437,1.0659581446436184,251.0,1017462198
fold3,val,1258,252,252,0.1376666410196183,0.1382513948887322,0.1105631745637503,1.2504289555200585,1.911519312506322,1.7943338940935665,-0.0770488677407345,33.5598484125922,33.693552987941175,13.823529411764708,1017462198
fold3,test,1258,252,252,0.0307803548128196,0.0309048614672093,0.1551122558798104,0.1992419057534447,0.2802375289863628,0.2515512389627178,-0.1228571228456154,18.96096942389114,19.036511134743296,24.2,1017462198
fold4,val,1258,252,252,-0.0064906801411821,-0.006516454985935,0.1558461150353456,-0.0418133938369723,-0.0586446428577989,-0.0530409213157603,-0.1228571228456157,3.047137687398955,3.059277678185405,125.0,1017462198
fold4,test,1258,252,252,0.0656122210283023,0.0658820524467473,0.129305137535555,0.5095083900176187,0.6651401636785987,0.7170816281561225,-0.0918752480329946,42.5557018453027,42.72524647416845,11.0,1017462198
fold5,val,1258,252,252,-0.1182404969586472,-0.1186824460438951,0.1297263357305738,-0.9148677897630932,-1.3579515924195644,-0.9134679848925024,-0.1299251292948835,9.236855234933714,9.27365545499321,49.4,1017462198
fold5,test,1258,251,251,-0.1244504508684219,-0.125380865190872,0.0676596468480043,-1.853111433947281,-2.7873108548271497,-0.9735245820473788,-0.1287906515182069,16.364642610676352,16.495559751561764,26.77777777777778,1017462198
fold6,val,1258,251,251,-0.0350719414255219,-0.0353474988889309,0.0617336774540206,-0.5725804835660058,-0.9275644126276148,-0.4596713115788133,-0.0768973351143547,81.58847855959691,82.24118638807369,5.097560975609756,1017462198
fold6,test,1258,251,251,-0.1327709609068912,-0.1337587071918329,0.1582445338802709,-0.8452658926787058,-1.0966077029111612,-0.6448489167900392,-0.2074264276625657,100.7994216715818,101.60581704495446,4.02,1017462198
fold7,val,1259,251,251,-0.0710641501046603,-0.0716118050801208,0.1711346678705589,-0.4184529410153521,-0.5142744830219513,-0.3548919014108511,-0.2017848386943531,0.9806748159235266,0.9885202144509148,250.0,1017462198
fold7,test,1259,252,252,0.2852271755515856,0.2865127149213478,0.1257024128581388,2.279293677876263,2.8178423732108144,4.329052939876455,-0.0661836939627549,0.8605957370124182,0.8640244052873681,251.0,1017462198
fold8,val,1258,252,252,0.0876386599418104,0.0880027504047302,0.1152658493396811,0.7634763540881195,1.400581400325327,0.8721185715827887,-0.10090686435563,61.27621929957213,61.52034766331545,7.129032258064516,1017462198
fold8,test,1258,112,112,0.0543534897908204,0.1276776601596143,0.4516745457640836,0.2826762352605592,0.3724628583019639,0.4829849246701258,-0.2643512325914043,32.807793044043294,74.48255718107126,6.0,1017462198
