fold,state_id,mean_return_model,mean_vol_model,var_return_model,var_vol_model,mean_return_emp,mean_vol_emp,var_return_emp,var_vol_emp
fold1,0,0.0011520589768117331,0.005563412209315924,3.329009139036452e-05,1.1810719871919943e-06,0.001152037955075981,0.00556341220129833,3.3278405757825995e-05,1.1772969721389921e-06
fold1,1,0.0008317043030668552,0.01566316901790795,0.00023579504672977463,6.0698714019284786e-06,0.0008318639747270246,0.01566295504362538,0.00023578246482517393,6.067850919804215e-06
fold1,2,-0.0018660406571530275,0.03327288958688918,0.0012184270723868832,0.00013242789798033965,-0.0018660118020339923,0.03327281187388629,0.0012184056192710102,0.00013242270698901539
fold1,3,-0.0006664173819558206,0.00998207837659092,0.00010806222579240301,1.8557337097216082e-06,-0.0006666323287640823,0.009981931902173391,0.00010805263395126554,1.8535460439954979e-06
fold2,0,0.0008169899824645764,0.006397301155578143,4.6367981398284984e-05,1.465435828738839e-06,0.0008170675485564549,0.006397212677501827,4.6358098270871826e-05,1.4626830226749652e-06
fold2,1,-0.001927324383887967,0.033446968710145214,0.0012282857399759947,0.00013200640472794975,-0.0019273312320118828,0.033446988489430396,0.0012282697176227788,0.0001320008222670872
fold2,2,0.0006687788535333115,0.016082594571565963,0.00025086095520295476,6.404276797289885e-06,0.0006687329165648053,0.01608263384062532,0.00025085408740577495,6.401489468052029e-06
fold2,3,-0.0002235295755995661,0.01034794378661021,0.00010850331779763444,1.551263344168475e-06,-0.00022351066759132877,0.010347892982775081,0.00010849651056933524,1.5493761899508255e-06
fold3,0,-0.00014827562502641432,0.020755424009139527,0.0004385584911248807,1.8209132861872404e-05,-0.00014822725267568852,0.020755469074224826,0.00043855401636895574,1.8207634577505645e-05
fold3,1,0.0013764772855505594,0.011956233075115981,0.00012911535647336077,1.8297728151428254e-06,0.0013761113778785535,0.011956456668658097,0.00012911454344760633,1.8283364889698374e-06
fold3,2,0.0007682202504028832,0.005941736648870099,3.9101573557505144e-05,9.775082576236055e-07,0.0007683240879760641,0.005941714555064118,3.9097540126129005e-05,9.76727910411194e-07
fold3,3,0.0005548346790598452,0.008926378955663658,8.031198951953308e-05,6.388179316479218e-07,0.0005550098043372633,0.008926467374431406,8.030927393381054e-05,6.379603877317198e-07
fold4,0,0.000522716964365458,0.006958808109136508,5.542201020533277e-05,5.727210781750568e-07,0.0005227526740001463,0.006958980712917281,5.542135452151258e-05,5.721992862238066e-07
fold4,1,0.0007977096789131819,0.010054601138472244,9.363666987957562e-05,1.4978609480491335e-06,0.0007976841321052916,0.010054707106994076,9.363533880738718e-05,1.4972254094039341e-06
fold4,2,-0.0002412457711584437,0.018737284185745516,0.00036106979991216027,1.7842214044450827e-05,-0.00024125259776206778,0.018737303090709437,0.00036106430665265604,1.7840849638615433e-05
fold4,3,0.0007626276329892055,0.004847353354029288,2.679799385572063e-05,6.154218448841883e-07,0.0007626073687330915,0.004847480205583607,2.679709038775117e-05,6.147880877326131e-07
fold5,0,0.00010323739332254641,0.006704098405438324,5.009175680477244e-05,3.412549031143743e-07,0.00010318819202478978,0.006704236848019304,5.009067401053308e-05,3.4071641721645437e-07
fold5,1,0.0004526391150414996,0.004864505433901317,2.8238806070814005e-05,6.123728163909345e-07,0.00045260081518174063,0.004864627672424709,2.8237809990591493e-05,6.117368214196876e-07
fold5,2,-0.00021029482142029471,0.019166575817332165,0.00038556652128724997,2.0352793663397936e-05,-0.0002103008279530824,0.019166601730770297,0.00038556042666278465,2.0351219858790284e-05
fold5,3,0.0009533372393690014,0.009501593413124251,8.321271840146205e-05,1.4030625305051918e-06,0.0009534058447417985,0.009501664469172017,8.321114387591807e-05,1.402582658291649e-06
fold6,0,0.00030192135304280595,0.004575331215358754,2.3233061025279295e-05,5.550281190012411e-07,0.0003019403379756969,0.004575315520808324,2.3230449272193524e-05,5.547185312286931e-07
fold6,1,0.0006227101628075984,0.012353919913258887,0.00015016226428984691,6.004116102239658e-06,0.0006227314757994793,0.012353925330863444,0.00015015895635295758,6.0037323768013545e-06
fold6,2,0.0008938127063712414,0.008590789958344199,6.510207047772941e-05,6.749375657410115e-07,0.0008937964840572939,0.008590788681408536,6.510060219273635e-05,6.747178711808824e-07
fold6,3,0.0003382343150224392,0.006383324554427661,4.673576464094265e-05,2.828117995882309e-07,0.0003382241591337041,0.006383314695336228,4.673397988252596e-05,2.826213386259386e-07
fold7,0,0.0006665249181207319,0.012071497819369881,0.0001487917486055026,6.9315259653175074e-06,0.0006665249678814023,0.012071500126576084,0.00014878920360823027,6.931101638041057e-06
fold7,1,0.00020985283470340834,0.006199795938018992,4.447967143079257e-05,3.0592273172387783e-07,0.00020986106973060987,0.006199793158488136,4.447800670989758e-05,3.056810713228354e-07
fold7,2,0.001018636194868038,0.00830152758281371,5.667406040790414e-05,4.6186496756764395e-07,0.0010186401845853658,0.008301532339923609,5.667194294243058e-05,4.614854531727283e-07
fold7,3,0.0006034578166691022,0.004195172853215445,1.8084316514809972e-05,6.132367571840663e-07,0.0006034520017993087,0.004195167380383259,1.8082965725889198e-05,6.130193142990834e-07
fold8,0,0.0008081550874468251,0.0041695893239687785,1.7533090503887035e-05,5.825566290203965e-07,0.0008081547173701982,0.00416959002423554,1.7531591406279697e-05,5.822680442830698e-07
fold8,1,0.0005632439158702388,0.008766632604297895,6.815250591275928e-05,1.0015335489076358e-06,0.0005632748132596934,0.008766580001210831,6.814843176599375e-05,1.0009083957388347e-06
fold8,2,-0.0005693742787180127,0.01348181584129671,0.00020071922034692617,6.301311818616533e-06,-0.0005693628441806793,0.013481748628457739,0.00020071429497815055,6.300831805749319e-06
fold8,3,0.00011125359251603598,0.006264865720540561,4.335123214742568e-05,2.981038262430071e-07,0.00011123894427647309,0.006264861293834986,4.3349053181816353e-05,2.9767731318544e-07
